State,Unrestricted,Shall-issue,May-issue,No-issue,"Non-Resident
Permits Available",Permit Reciprocity[26]
Alabama,,Yes,,,No,Yes
Alaska,Yes,Yes,,,No,Yes
American Samoa,,,,Yes,No,No
Arizona,Yes,Yes,,,Yes,Yes
Arkansas,,Yes,,,No,Yes
California,,,Yes,,No,No
Colorado,,Yes,,,No,Yes
Connecticut,,,Yes,,Yes,No
Delaware,,,Yes,,Yes,Yes
District of Columbia,,,Yes,,Yes,No
Florida,,Yes,,,Yes,Yes
Georgia,,Yes,,,No,Yes
Guam,,Yes,,,No,No
Hawaii,,,Yes,,No,No
Idaho,Yes,Yes,,,Yes,Yes
Illinois,,Yes,,,Yes,Yes
Indiana,,Yes,,,Yes,Yes
Iowa,,Yes,,,Yes,Yes
Kansas,Yes,Yes,,,No,Yes
Kentucky,,Yes,,,No,Yes
Louisiana,,Yes,,,No,Yes
Maine,Yes,Yes,,,Yes,Yes
Maryland,,,Yes,,Yes,No
Massachusetts,,,Yes,,Yes,No
Michigan,,Yes,,,No,Yes
Minnesota,,Yes,,,Yes,Yes
Mississippi,Yes,Yes,,,No,Yes
Missouri,Yes,Yes,,,No,Yes
Montana,Yes,Yes,,,No,Yes
Nebraska,,Yes,,,No,Yes
Nevada,,Yes,,,Yes,Yes
New Hampshire,Yes,Yes,,,Yes,Yes
New Jersey,,,Yes,,Yes,No
New Mexico,Yes,Yes,,,No,Yes
New York,,,Yes,,No,No
North Carolina,,Yes,,,No,Yes
North Dakota,Yes,Yes,,,Yes,Yes
Northern Mariana Islands,,,,Yes,No,No
Ohio,,Yes,,,Yes,Yes
Oklahoma,Yes,Yes,,,No,Yes
Oregon,,Yes,,,Yes,No
Pennsylvania,,Yes,,,Yes,Yes
Puerto Rico,,,Yes,,No,Yes
Rhode Island,,Yes,Yes,Yes,Yes,Yes
South Carolina,,Yes,,,Yes,Yes
South Dakota,,Yes,,,No,Yes
Tennessee,,Yes,,,Yes,Yes
Texas,,Yes,,,Yes,Yes
United States Virgin Islands,,,Yes,,No,Yes
Utah,,Yes,,,Yes,Yes
Vermont,Yes,,,,No,N/A
Virginia,,Yes,,,Yes,Yes
Washington,,Yes,,,Yes,Yes
West Virginia,Yes,Yes,,,No,Yes
Wisconsin,,Yes,,,No,Yes
Wyoming[25],Yes,Yes,,,No,Yes
,,,,,,
,,,,,,
,,,,,,
https://en.wikipedia.org/wiki/Concealed_carry_in_the_United_States,,,,,,
https://en.wikipedia.org/wiki/Campus_carry_in_the_United_States,,,,,,
http://www.armedcampuses.org/,,,,,,