"Title: Population Distribution by Age | The Henry J. Kaiser Family Foundation"
"Timeframe: 2015"
"Location","Children 0-18","Adults 19-25","Adults 26-34","Adults 35-54","Adults 55-64","65+","Total"
"United States","78181900","30474600","38959600","82570800","41135100","47546500","318868500"
"Alabama","1162900","447200","534700","1324800","650800","713400","4833900"
"Alaska","196800","69200","98500","175700","85600","79500","705300"
"Arizona","1708600","612000","789800","1830000","764100","1035000","6739500"
"Arkansas","762600","251200","352300","722100","408900","456000","2953000"
"California","9657800","4122100","4832100","10751700","4674400","5075800","39113900"
"Colorado","1310200","508900","789700","1357300","695700","759400","5421300"
"Connecticut","817700","296500","457300","944700","501100","554300","3571700"
"Delaware","211100","87500","118300","257500","128500","156200","959100"
"District of Columbia","125200","77500","147500","175800","63500","87300","676800"
"Florida","4494700","1822000","2230500","5192300","2588700","3757100","20085300"
"Georgia","2609200","993800","1280100","2786900","1136900","1298000","10104900"
"Hawaii","327700","127300","189900","334400","175500","231200","1386000"
"Idaho","448300","156800","207300","392600","202500","252100","1659500"
"Illinois","3128300","1045500","1633300","3289200","1723800","1881700","12701800"
"Indiana","1663800","586400","753300","1672000","826600","1010000","6512100"
"Iowa","773500","273500","389300","756400","421300","486700","3100600"
"Kansas","787000","255100","318400","741900","353000","397000","2852400"
"Kentucky","1074900","402800","498100","1132300","552100","723100","4383400"
"Louisiana","1205800","427000","609500","1141200","622000","598700","4604200"
"Maine","267100","87500","146100","382600","183200","275400","1341900"
"Maryland","1435900","570300","745100","1591400","781200","776700","5900500"
"Massachusetts","1450700","735600","923300","1664300","980200","1031500","6785700"
"Michigan","2256400","1047400","1018500","2516100","1367600","1656100","9862100"
"Minnesota","1382800","366700","660300","1450500","712100","890600","5463000"
"Mississippi","773500","252300","320200","798800","379100","424700","2948600"
"Missouri","1505200","447100","769800","1557000","762600","921000","5962700"
"Montana","240200","98300","119700","234000","143300","182600","1018100"
"Nebraska","519900","160500","223500","448800","239300","267800","1859800"
"Nevada","705500","249900","378900","761100","358800","413100","2867400"
"New Hampshire","286400","130900","135300","330100","203300","206800","1292800"
"New Jersey","2115000","828500","1054300","2427600","1192800","1323400","8941600"
"New Mexico","534700","205400","233300","481200","244000","342300","2041000"
"New York","4494600","2064000","2525700","4922000","2542500","3146000","19695000"
"North Carolina","2419500","1008500","1146700","2562800","1378400","1386200","9902000"
"North Dakota","185300","93600","106600","179200","87200","111600","763400"
"Ohio","2766200","1097400","1362500","2828200","1666200","1730400","11450900"
"Oklahoma","1014700","338900","501300","985800","508000","554100","3902900"
"Oregon","930700","365100","500400","1056900","564300","615500","4032800"
"Pennsylvania","2882800","1262900","1350200","3153900","1776600","2169500","12595900"
"Rhode Island","231700","100700","106300","287900","155500","162700","1044800"
"South Carolina","1154700","404500","581900","1235500","624600","793500","4794700"
"South Dakota","218400","81300","104400","198700","113900","131700","848400"
"Tennessee","1563700","584500","856400","1653800","904500","1053600","6616500"
"Texas","7600000","2904700","3487700","6874400","3222200","3345400","27434400"
"Utah","966700","291100","429300","729000","261700","326700","3004500"
"Vermont","131700","51800","69300","156300","98100","102400","609700"
"Virginia","1993500","660600","1066100","2261200","1049000","1186900","8217200"
"Washington","1742400","607500","911800","1879100","895300","1158500","7194700"
"West Virginia","412700","144100","184600","453900","258700","343500","1797500"
"Wisconsin","1380500","612500","650100","1388900","826200","879900","5738100"
"Wyoming","152500","58100","60200","141000","79500","83600","574800"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureauâ€™s March 2016 Current Population Survey (CPS; Annual Social and Economic Supplement) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the non-institutionalized population. "
""
"Data may not sum to totals due to rounding. Population numbers are rounded to the nearest 100."

"Sources"
"Kaiser Family Foundation estimates based on the Census Bureau's March 2016 Current Population Survey (CPS: Annual Social and Economic Supplement)."


